,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque
0,2014,450000,145500,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
1,2014,370000,120000,Diesel,1,1,Second Owner,21.14,1498,103.52,5,250.0
2,2010,225000,127000,Diesel,1,1,First Owner,23.0,1396,90.0,5,220.0
3,2007,130000,120000,Petrol,1,1,First Owner,16.1,1298,88.2,5,113.0
4,2017,440000,45000,Petrol,1,1,First Owner,20.14,1197,81.86,5,114.0
5,2007,96000,175000,LPG,1,1,First Owner,28.89,1061,57.5,5,77.0
6,2001,45000,5000,Petrol,1,1,Second Owner,16.1,796,37.0,4,59.0
7,2011,350000,90000,Diesel,1,1,First Owner,23.59,1364,67.1,5,170.0
8,2013,200000,169000,Diesel,1,1,First Owner,20.0,1399,68.1,5,160.0
9,2014,500000,68000,Diesel,1,1,Second Owner,19.01,1461,108.45,5,248.0
10,2005,92000,100000,Petrol,1,1,Second Owner,17.3,993,60.0,5,78.0
11,2009,280000,140000,Diesel,1,1,Second Owner,19.3,1248,73.9,5,190.0
12,2009,180000,90000,Petrol,1,1,Second Owner,18.9,1061,67.0,5,84.0
13,2016,400000,40000,Petrol,1,1,First Owner,18.15,1198,82.0,5,115.0
14,2012,500000,53000,Diesel,1,1,Second Owner,23.0,1396,90.0,5,220.0
15,2002,150000,80000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
16,2016,680000,100000,Diesel,1,1,First Owner,22.54,1396,88.73,5,220.0
17,2011,174000,100000,Diesel,1,1,Second Owner,21.0,1461,64.1,5,160.0
18,2017,950000,50000,Diesel,1,1,First Owner,25.5,1498,98.6,5,200.0
19,2015,525000,40000,Diesel,1,1,First Owner,26.59,1248,74.0,5,190.0
20,2012,600000,72000,Diesel,1,1,First Owner,21.5,1248,88.8,5,200.0
21,2016,575000,45000,Petrol,1,1,First Owner,21.4,1197,83.1,5,115.0
22,2017,275000,28000,Petrol,1,1,First Owner,24.7,796,47.3,5,69.0
23,2013,300000,70000,Diesel,1,1,First Owner,18.2,1248,73.8,7,173.0
24,2009,220000,120000,Petrol,1,1,First Owner,18.9,1061,67.0,5,84.0
25,2018,254999,25000,Petrol,1,1,First Owner,16.8,796,34.2,8,59.0
26,2017,670000,70000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
27,2012,150000,35000,Petrol,1,1,Second Owner,14.0,796,35.0,5,60.0
28,2017,650000,16200,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
29,2019,330000,10000,CNG,1,1,Second Owner,55.84,796,40.3,4,60.0
30,2019,366000,15000,Petrol,1,1,First Owner,23.95,998,67.1,5,90.0
31,2019,1149000,5000,Petrol,1,1,First Owner,17.0,1591,121.3,5,151.0
32,2016,150000,42000,Petrol,1,1,First Owner,20.63,1198,67.0,5,104.0
33,2011,425000,60000,Diesel,1,1,Second Owner,13.93,2179,138.03,7,320.0
34,2012,150000,76000,Petrol,1,1,First Owner,16.1,796,37.0,4,59.0
35,2019,2100000,5000,Petrol,1,0,First Owner,16.0,1368,160.77,5,250.0
36,2018,925000,28900,Petrol,0,1,First Owner,17.8,1497,117.3,5,145.0
37,2013,425000,86300,Petrol,0,1,First Owner,16.8,1497,116.3,5,146.0
38,2018,819999,32600,Diesel,0,1,First Owner,24.3,1248,88.5,5,200.0
39,2018,390000,10300,Petrol,0,1,First Owner,23.95,998,67.05,5,90.0
40,2014,1500000,77000,Diesel,0,1,First Owner,12.55,2982,168.5,7,343.0
41,2013,700000,99000,Diesel,0,1,First Owner,12.99,2494,100.0,7,200.0
42,2014,1450000,27800,Diesel,0,0,Second Owner,14.8,2143,120.7,5,200.0
43,2015,425000,49800,Diesel,0,1,First Owner,24.7,1498,98.63,5,200.0
44,2013,1090000,151000,Diesel,0,1,First Owner,13.5,2477,175.56,7,400.0
45,2015,600000,54700,Diesel,0,1,First Owner,26.0,1498,98.6,5,200.0
46,2015,525000,63000,Diesel,0,1,First Owner,27.3,1498,98.6,5,200.0
47,2016,1650000,127700,Diesel,0,0,Second Owner,11.36,2755,171.5,7,360.0
48,2016,950000,99000,Diesel,0,1,First Owner,12.99,2494,100.6,7,200.0
49,2013,1750000,33900,Diesel,0,0,Second Owner,17.68,1968,174.33,5,380.0
50,2013,1689999,50000,Diesel,0,0,First Owner,18.53,1968,187.74,5,400.0
51,2013,1425000,59000,Diesel,0,0,First Owner,14.84,2143,170.0,5,400.0
52,2011,265000,120000,Diesel,1,1,First Owner,21.12,1248,88.8,5,200.0
53,2011,190000,110000,Petrol,1,1,Third Owner,20.36,1197,78.9,5,112.0
54,2013,425000,60000,Diesel,1,1,First Owner,21.27,1396,88.76,5,220.0
55,2015,630000,147000,Diesel,1,1,Second Owner,26.59,1248,74.0,5,190.0
56,2017,600000,25000,Petrol,1,1,Third Owner,18.16,1196,86.8,5,112.0
57,2019,650000,30000,Petrol,1,1,First Owner,21.4,1197,83.1,5,115.0
58,2016,540000,40000,Diesel,1,1,First Owner,22.0,1498,108.495,5,250.0
59,2015,630000,135000,Diesel,1,1,First Owner,25.1,1498,98.6,5,200.0
60,2018,448000,30000,Petrol,1,0,First Owner,20.51,998,67.0,5,90.0
61,2017,500000,80000,Diesel,1,1,First Owner,21.66,1498,108.62,5,250.0
62,2019,1025000,9850,Diesel,1,0,First Owner,24.3,1248,88.5,5,200.0
63,2016,630000,70000,Diesel,1,1,First Owner,25.2,1248,74.0,5,190.0
64,2015,1700000,78000,Diesel,1,1,Second Owner,12.55,2982,168.5,7,343.0
65,2013,450000,120000,Diesel,1,1,Second Owner,22.9,1248,74.0,5,190.0
66,2012,450000,120000,Petrol,1,1,Second Owner,16.02,1373,93.7,7,130.0
67,2013,450000,170000,Diesel,1,1,First Owner,20.54,1598,103.6,5,250.0
68,2016,1200000,140000,Diesel,1,1,First Owner,12.99,2494,100.6,8,200.0
69,2015,610000,90000,Diesel,1,1,First Owner,22.77,1498,98.59,5,205.0
70,2016,2500000,30000,Petrol,1,0,Second Owner,15.71,1998,189.0,5,280.0
71,2017,484999,10000,Petrol,0,1,First Owner,23.1,998,67.04,5,90.0
72,2016,275000,49000,Petrol,0,1,First Owner,19.02,1198,67.05,5,104.0
73,2016,315000,32000,Petrol,0,1,First Owner,24.7,796,47.3,5,69.0
74,2016,275000,38000,Petrol,0,1,First Owner,24.7,796,47.3,5,69.0
75,2012,290000,28000,Petrol,0,1,First Owner,19.81,1086,68.05,5,100.0
76,2017,280000,32000,Petrol,0,1,First Owner,14.0,796,35.0,5,60.0
77,2010,225000,44000,LPG,0,1,First Owner,43.75,998,58.2,5,77.0
78,2015,455000,42000,Petrol,0,1,First Owner,16.47,1198,74.0,5,110.0
79,2015,351000,45000,Petrol,0,1,Second Owner,19.81,1086,68.05,5,100.0
80,2012,535000,12000,Petrol,0,1,Second Owner,15.04,1598,103.6,5,153.0
81,2009,175000,55500,Petrol,0,1,First Owner,18.2,998,67.1,5,90.0
82,2013,525000,61500,Petrol,0,1,First Owner,18.5,1197,82.85,5,114.0
83,2016,600000,150000,Diesel,1,1,First Owner,26.59,1248,74.0,5,190.0
84,2016,565000,72000,Petrol,0,0,First Owner,19.1,1197,82.0,5,114.0
85,2008,120000,68000,Petrol,0,1,Third Owner,19.7,796,46.3,5,62.0
86,2017,725000,110000,Diesel,1,1,First Owner,22.54,1396,88.73,5,220.0
87,2009,185000,77000,Petrol,0,1,Second Owner,21.79,998,67.05,5,90.0
88,2010,200000,100000,Diesel,1,1,Second Owner,18.8,1248,90.0,5,200.0
89,2019,615000,10000,Petrol,1,1,First Owner,21.21,1197,81.8,5,113.0
90,2018,610000,35000,Petrol,1,1,First Owner,21.4,1197,83.1,5,115.0
91,2014,625000,70000,Diesel,1,0,Second Owner,11.79,2179,120.0,8,290.0
92,2020,400000,5000,Petrol,1,1,Second Owner,19.0,1194,94.68,5,120.0
93,2017,866000,37800,Petrol,1,1,First Owner,17.0,1591,121.3,5,151.0
94,2010,700000,114000,Petrol,1,1,First Owner,14.3,1798,160.0,5,250.0
95,2019,1700000,32000,Diesel,1,1,First Owner,15.1,2179,155.0,7,360.0
96,2016,375000,100000,Diesel,1,1,First Owner,19.09,1405,69.01,5,135.0
97,2013,522000,150000,Diesel,1,1,Second Owner,22.32,1582,126.32,5,260.0
98,2013,451999,69000,Diesel,1,1,First Owner,21.9,1396,88.76,5,220.0
99,2009,300000,100000,Petrol,1,1,Second Owner,14.53,1798,138.1,5,173.0
100,2020,475000,13000,Petrol,1,1,First Owner,21.63,998,67.04,5,90.0
101,2016,780000,60000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
102,2017,595000,40000,Petrol,1,1,First Owner,20.85,1197,83.14,5,115.0
103,2014,400000,70000,Diesel,1,1,Third Owner,20.45,1461,83.8,5,200.0
104,2016,1140000,50000,Diesel,1,1,First Owner,19.67,1582,126.2,5,260.0
105,2012,370000,175000,Diesel,1,1,Fourth & Above Owner,19.3,1248,73.9,5,190.0
106,2018,350000,25000,Petrol,1,1,First Owner,23.01,999,67.0,5,91.0
107,2015,360000,40000,Petrol,1,1,Second Owner,23.1,998,67.04,5,90.0
108,2008,105000,65000,Petrol,1,1,Fourth & Above Owner,19.7,796,46.3,5,62.0
109,2009,135000,80000,Petrol,1,1,Second Owner,17.92,1086,62.1,5,97.0
110,2015,700000,110000,Diesel,1,1,Second Owner,20.77,1248,88.76,7,200.0
111,2019,690000,1303,Petrol,0,1,First Owner,17.8,1198,86.7,5,109.0
112,2018,3975000,31800,Diesel,0,0,First Owner,17.01,1968,188.0,5,400.0
113,2019,5150000,20000,Petrol,0,0,First Owner,22.37,2487,214.56,5,202.0
114,2017,3200000,45000,Diesel,0,0,First Owner,19.33,1999,177.0,5,430.0
115,2019,4500000,21000,Diesel,0,0,First Owner,12.83,1999,148.31,7,382.0
116,2017,6000000,37000,Diesel,0,0,First Owner,13.5,2987,254.79,5,620.0
117,2018,3790000,29500,Diesel,0,0,First Owner,22.48,1995,187.74,5,400.0
118,2019,5800000,7500,Diesel,0,0,First Owner,16.78,1995,190.0,5,400.0
119,2018,1864999,50000,Petrol,0,0,First Owner,14.67,1798,177.46,5,250.0
120,2016,2700000,35000,Diesel,0,0,First Owner,15.0,2143,204.0,5,500.0
121,2019,1750000,19000,Petrol,0,0,First Owner,13.96,1451,141.0,5,250.0
122,2013,625000,39000,Petrol,0,0,First Owner,14.28,1798,138.03,5,173.0
